Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,157.509995,160.089996,157.339996,159.919998,138.546692,2701800
2015-11-03,159.479996,159.800003,158.669998,158.750000,137.533066,2972800
2015-11-04,159.000000,159.479996,158.610001,158.910004,137.671677,2254000
2015-11-05,159.380005,159.580002,158.270004,158.990005,137.741013,2023900
2015-11-06,158.020004,159.259995,157.729996,159.259995,137.974869,1860000
2015-11-09,158.669998,158.669998,156.750000,157.470001,136.424118,2421000
2015-11-10,157.229996,157.639999,156.429993,157.589996,136.528091,1962900
2015-11-11,157.860001,159.490005,157.539993,159.050003,137.792953,2518900
2015-11-12,157.779999,158.289993,156.160004,156.300003,135.410492,2305600
2015-11-13,156.000000,156.919998,155.600006,155.649994,134.847397,2434500
2015-11-16,155.610001,158.259995,155.610001,158.210007,137.065231,2395000
2015-11-17,158.360001,158.529999,156.520004,157.029999,136.042908,2393000
2015-11-18,156.179993,157.500000,156.080002,157.389999,137.250717,2226900
2015-11-19,157.630005,158.509995,156.710007,158.380005,138.114029,1518200
2015-11-20,158.679993,159.839996,158.339996,158.949997,138.611099,1891100
2015-11-23,158.899994,159.770004,158.160004,158.649994,138.349503,1430400
2015-11-24,157.369995,158.339996,156.889999,157.750000,137.564667,2100600
2015-11-25,158.059998,158.470001,157.630005,157.630005,137.460007,1184100
2015-11-27,157.509995,158.490005,156.940002,157.990005,137.773926,876100
2015-11-30,158.100006,158.470001,156.570007,156.580002,136.544373,2934200
2015-12-01,156.410004,157.669998,156.169998,156.899994,136.823425,2259000
2015-12-02,156.880005,157.250000,155.509995,155.699997,135.776962,2034700
2015-12-03,156.559998,156.899994,153.710007,154.380005,134.625870,2609500
2015-12-04,154.789993,158.389999,154.570007,158.220001,137.974503,2175800
2015-12-07,157.529999,158.000000,156.809998,157.750000,137.564667,2142800
2015-12-08,156.440002,157.860001,155.679993,156.789993,136.727463,2350400
2015-12-09,156.169998,158.240005,154.940002,156.050003,136.082153,2660800
2015-12-10,155.729996,158.690002,155.589996,157.520004,137.364075,2551200
2015-12-11,155.550003,156.399994,154.419998,154.830002,135.018280,2523200
2015-12-14,155.289993,157.770004,154.339996,157.630005,137.460007,3462200
2015-12-15,151.990005,153.020004,147.080002,148.130005,129.175629,8645900
2015-12-16,148.149994,150.539993,147.740005,149.949997,130.762711,4774100
2015-12-17,150.149994,150.860001,148.830002,148.850006,129.803467,3053900
2015-12-18,148.210007,148.600006,146.759995,146.919998,128.120438,5736400
2015-12-21,147.580002,148.330002,146.690002,147.479996,128.608749,2284400
2015-12-22,148.119995,149.490005,147.279999,148.970001,129.908127,2528700
2015-12-23,149.690002,151.580002,149.520004,151.160004,131.817886,2215300
2015-12-24,150.820007,151.800003,150.580002,151.190002,131.844055,848400
2015-12-28,151.130005,151.770004,150.270004,151.220001,131.870209,1275200
2015-12-29,152.199997,153.259995,152.000000,152.889999,133.326508,1824700
2015-12-30,152.789993,153.699997,151.729996,151.910004,132.471939,1553100
2015-12-31,151.729996,152.119995,150.630005,150.639999,131.364426,1607100
2016-01-04,148.050003,148.320007,145.399994,146.820007,128.033249,3277200
2016-01-05,146.820007,147.500000,145.610001,147.460007,128.591339,2688100
2016-01-06,145.589996,145.759995,143.419998,144.490005,126.001358,2997100
2016-01-07,142.520004,143.130005,140.630005,140.970001,122.931786,3553500
2016-01-08,141.360001,142.500000,140.220001,140.490005,122.513206,2664000
2016-01-11,140.970001,141.429993,139.410004,140.460007,122.487068,2775500
2016-01-12,141.360001,142.149994,139.130005,140.860001,122.835876,2363500
2016-01-13,140.889999,142.190002,138.539993,138.720001,120.969681,2598300
2016-01-14,139.740005,142.440002,138.860001,141.179993,123.114891,3720400
2016-01-15,138.300003,140.100006,137.210007,138.690002,120.943542,4683500
2016-01-19,140.100006,140.800003,137.410004,138.389999,120.681908,3399800
2016-01-20,136.949997,137.750000,134.639999,136.960007,119.434883,4136300
2016-01-21,136.960007,138.669998,136.149994,137.759995,120.132538,3355200
2016-01-22,140.139999,140.429993,138.080002,139.520004,121.667343,2979100
2016-01-25,138.960007,139.369995,137.529999,137.570007,119.966873,2805500
2016-01-26,141.789993,145.020004,140.330002,144.779999,126.254265,5129100
