Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,57.290001,57.610001,56.770000,57.610001,50.884892,10719200
2015-11-03,57.570000,58.330002,57.529999,58.110001,51.326511,10253900
2015-11-04,58.580002,58.759998,58.189999,58.369999,51.556171,10056500
2015-11-05,58.509998,58.980000,58.419998,58.610001,51.768154,8860500
2015-11-06,58.919998,59.200001,58.310001,58.779999,51.918301,9977300
2015-11-09,58.500000,58.779999,58.020000,58.490002,51.662163,8440400
2015-11-10,58.310001,58.709999,58.310001,58.680000,51.829979,7614900
2015-11-11,58.500000,58.730000,57.470001,57.580002,50.858406,8689900
2015-11-12,57.639999,57.770000,56.919998,56.950001,50.301933,9551500
2015-11-13,56.740002,57.060001,56.299999,56.419998,49.833813,12514900
2015-11-16,56.389999,58.029999,56.360001,57.869999,51.114536,13321600
2015-11-17,59.340000,60.900002,59.200001,59.919998,52.925228,24679300
2015-11-18,60.040001,61.070000,59.549999,60.930000,53.817326,14877700
2015-11-19,61.119999,61.360001,60.430000,60.700001,53.614182,11566100
2015-11-20,60.980000,61.470001,60.020000,60.070000,53.057728,12371100
2015-11-23,60.290001,60.740002,59.880001,60.259998,53.225536,10577000
2015-11-24,59.950001,60.419998,59.860001,59.919998,52.925228,12453900
2015-11-25,60.000000,60.709999,59.880001,60.240002,53.207878,7820200
2015-11-27,60.439999,60.689999,59.869999,59.889999,52.898735,5340900
2015-11-30,59.869999,60.060001,58.730000,58.840000,51.971306,14942600
2015-12-01,59.130001,59.290001,58.650002,58.990002,52.103806,12204100
2015-12-02,58.610001,59.290001,58.320000,58.349998,51.970196,13586900
2015-12-03,58.689999,59.660000,58.599998,59.040001,52.584759,15844100
2015-12-04,59.049999,59.849998,59.029999,59.660000,53.136963,10435300
2015-12-07,59.570000,60.730000,59.570000,60.500000,53.885124,11595900
2015-12-08,60.070000,60.490002,59.500000,59.610001,53.092434,10377600
2015-12-09,59.259998,60.110001,58.900002,59.130001,52.664917,8981700
2015-12-10,59.130001,60.090000,59.090000,59.560001,53.047905,11359400
2015-12-11,59.049999,59.529999,58.810001,59.360001,52.869770,9745000
2015-12-14,59.299999,60.439999,59.070000,60.389999,53.787151,14524900
2015-12-15,60.639999,60.840000,59.570000,59.639999,53.119152,14615400
2015-12-16,60.110001,60.650002,59.700001,60.299999,53.706985,9960500
2015-12-17,60.330002,60.330002,58.970001,58.980000,52.531319,12976100
2015-12-18,58.930000,59.400002,58.750000,58.849998,52.415527,16256700
2015-12-21,58.820000,59.580002,58.669998,59.549999,53.038994,9645500
2015-12-22,59.790001,60.700001,59.610001,60.540001,53.920750,9266300
2015-12-23,61.000000,61.119999,60.439999,61.090000,54.410614,7519800
2015-12-24,60.779999,61.099998,60.680000,60.830002,54.179050,2482800
2015-12-28,60.580002,60.970001,60.500000,60.750000,54.107788,5421700
2015-12-29,61.000000,61.750000,60.980000,61.610001,54.873760,7883600
