Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,157.509995,160.089996,157.339996,159.919998,137.358429,2701800
2015-11-03,159.479996,159.800003,158.669998,158.750000,136.353516,2972800
2015-11-04,159.000000,159.479996,158.610001,158.910004,136.490952,2254000
2015-11-05,159.380005,159.580002,158.270004,158.990005,136.559631,2023900
2015-11-06,158.020004,159.259995,157.729996,159.259995,136.791550,1860000
2015-11-09,158.669998,158.669998,156.750000,157.470001,135.254105,2421000
2015-11-10,157.229996,157.639999,156.429993,157.589996,135.357162,1962900
2015-11-11,157.860001,159.490005,157.539993,159.050003,136.611191,2518900
2015-11-12,157.779999,158.289993,156.160004,156.300003,134.249146,2305600
2015-11-13,156.000000,156.919998,155.600006,155.649994,133.690887,2434500
2015-11-16,155.610001,158.259995,155.610001,158.210007,135.889694,2395000
2015-11-17,158.360001,158.529999,156.520004,157.029999,134.876129,2393000
2015-11-18,156.179993,157.500000,156.080002,157.389999,136.073593,2226900
2015-11-19,157.630005,158.509995,156.710007,158.380005,136.929489,1518200
2015-11-20,158.679993,159.839996,158.339996,158.949997,137.422318,1891100
2015-11-23,158.899994,159.770004,158.160004,158.649994,137.162949,1430400
2015-11-24,157.369995,158.339996,156.889999,157.750000,136.384842,2100600
2015-11-25,158.059998,158.470001,157.630005,157.630005,136.281067,1184100
2015-11-27,157.509995,158.490005,156.940002,157.990005,136.592346,876100
2015-11-30,158.100006,158.470001,156.570007,156.580002,135.373306,2934200
2015-12-01,156.410004,157.669998,156.169998,156.899994,135.649948,2259000
2015-12-02,156.880005,157.250000,155.509995,155.699997,134.612457,2034700
2015-12-03,156.559998,156.899994,153.710007,154.380005,133.471268,2609500
2015-12-04,154.789993,158.389999,154.570007,158.220001,136.791168,2175800
2015-12-07,157.529999,158.000000,156.809998,157.750000,136.384842,2142800
2015-12-08,156.440002,157.860001,155.679993,156.789993,135.554810,2350400
2015-12-09,156.169998,158.240005,154.940002,156.050003,134.915100,2660800
2015-12-10,155.729996,158.690002,155.589996,157.520004,136.185959,2551200
2015-12-11,155.550003,156.399994,154.419998,154.830002,133.860336,2523200
2015-12-14,155.289993,157.770004,154.339996,157.630005,136.281067,3462200
2015-12-15,151.990005,153.020004,147.080002,148.130005,128.067749,8645900
2015-12-16,148.149994,150.539993,147.740005,149.949997,129.641220,4774100
2015-12-17,150.149994,150.860001,148.830002,148.850006,128.690231,3053900
2015-12-18,148.210007,148.600006,146.759995,146.919998,127.021622,5736400
2015-12-21,147.580002,148.330002,146.690002,147.479996,127.505768,2284400
2015-12-22,148.119995,149.490005,147.279999,148.970001,128.793945,2528700
2015-12-23,149.690002,151.580002,149.520004,151.160004,130.687363,2215300
2015-12-24,150.820007,151.800003,150.580002,151.190002,130.713318,848400
2015-12-28,151.130005,151.770004,150.270004,151.220001,130.739227,1275200
2015-12-29,152.199997,153.259995,152.000000,152.889999,132.183060,1824700
2015-12-30,152.789993,153.699997,151.729996,151.910004,131.335815,1553100
2015-12-31,151.729996,152.119995,150.630005,150.639999,130.237793,1607100
2016-01-04,148.050003,148.320007,145.399994,146.820007,126.935150,3277200
2016-01-05,146.820007,147.500000,145.610001,147.460007,127.488495,2688100
2016-01-06,145.589996,145.759995,143.419998,144.490005,124.920746,2997100
2016-01-07,142.520004,143.130005,140.630005,140.970001,121.877464,3553500
2016-01-08,141.360001,142.500000,140.220001,140.490005,121.462471,2664000
2016-01-11,140.970001,141.429993,139.410004,140.460007,121.436554,2775500
2016-01-12,141.360001,142.149994,139.130005,140.860001,121.782364,2363500
2016-01-13,140.889999,142.190002,138.539993,138.720001,119.932213,2598300
2016-01-14,139.740005,142.440002,138.860001,141.179993,122.059013,3720400
2016-01-15,138.300003,140.100006,137.210007,138.690002,119.906265,4683500
2016-01-19,140.100006,140.800003,137.410004,138.389999,119.646904,3399800
2016-01-20,136.949997,137.750000,134.639999,136.960007,118.410576,4136300
2016-01-21,136.960007,138.669998,136.149994,137.759995,119.102196,3355200
2016-01-22,140.139999,140.429993,138.080002,139.520004,120.623848,2979100
2016-01-25,138.960007,139.369995,137.529999,137.570007,118.937965,2805500
2016-01-26,141.789993,145.020004,140.330002,144.779999,125.171432,5129100
2016-01-27,144.949997,147.970001,144.050003,145.550003,125.837181,3596400
2016-01-28,146.160004,147.839996,145.220001,147.320007,127.367439,3067400
2016-01-29,148.240005,151.000000,148.000000,151.000000,130.549026,3993200
2016-02-01,149.330002,149.789993,148.100006,148.729996,128.586472,2701500
2016-02-02,147.589996,148.279999,146.050003,147.869995,127.842957,3581800
2016-02-03,149.360001,152.850006,148.960007,152.520004,131.863220,5766800
2016-02-04,152.419998,154.380005,151.779999,153.440002,132.658569,3458400
2016-02-05,153.199997,153.880005,151.820007,153.470001,132.684509,3368500
2016-02-08,151.630005,154.429993,151.009995,153.899994,133.056244,2505400
2016-02-09,152.949997,155.759995,152.449997,154.740005,133.782516,2968400
2016-02-10,154.429993,155.490005,152.119995,152.449997,132.754944,2911900
2016-02-11,149.910004,152.000000,149.000000,150.669998,131.204910,3182200
2016-02-12,150.669998,154.070007,150.669998,153.960007,134.069855,2292200
2016-02-16,155.000000,155.899994,154.259995,155.529999,135.437057,2140600
2016-02-17,156.000000,157.130005,155.600006,156.619995,136.386200,2156100
2016-02-18,156.350006,156.970001,155.970001,156.779999,136.525558,2010200
2016-02-19,157.000000,157.089996,155.869995,156.449997,136.238190,2121300
2016-02-22,156.449997,158.479996,156.449997,157.699997,137.326691,2207600
2016-02-23,157.630005,157.690002,155.169998,156.169998,135.994370,1922800
2016-02-24,154.839996,157.619995,153.639999,157.220001,136.908722,1937800
2016-02-25,157.539993,159.000000,157.009995,158.990005,138.450043,1718100
2016-02-26,159.149994,159.500000,158.080002,158.270004,137.823059,1843700
2016-02-29,158.009995,159.119995,156.820007,156.869995,136.603912,1993200
2016-03-01,158.750000,159.699997,157.610001,159.589996,138.972488,2204100
2016-03-02,158.880005,159.880005,158.539993,159.410004,138.815765,1807200
2016-03-03,159.410004,159.690002,158.509995,159.380005,138.789673,1926000
2016-03-04,159.460007,160.289993,158.919998,160.070007,139.390518,1766300
2016-03-07,159.979996,160.570007,158.169998,160.570007,139.825928,2012800
2016-03-08,159.399994,160.610001,159.350006,160.199997,139.503738,2020100
2016-03-09,160.500000,160.779999,159.520004,160.089996,139.407944,1883000
2016-03-10,160.770004,160.800003,158.279999,159.889999,139.233749,1875700
2016-03-11,161.139999,162.050003,160.649994,161.880005,140.966690,1697200
2016-03-14,161.610001,162.770004,161.000000,161.809998,140.905716,1747300
2016-03-15,160.160004,162.500000,159.350006,162.410004,141.428192,1827900
2016-03-16,161.960007,163.300003,161.520004,162.889999,141.846207,1927700
2016-03-17,163.160004,164.360001,162.839996,163.750000,142.595108,2790000
2016-03-18,164.149994,165.330002,163.899994,165.330002,143.970978,5853000
2016-03-21,165.050003,165.309998,164.410004,164.839996,143.544235,2095100
2016-03-22,164.500000,165.500000,164.389999,164.910004,143.605255,2146300
2016-03-23,164.600006,164.990005,163.460007,164.270004,143.047897,2305000
2016-03-24,163.679993,164.539993,163.050003,164.460007,143.213379,1868800
2016-03-28,164.929993,166.649994,164.580002,166.279999,144.798218,2336700
2016-03-29,164.929993,164.990005,163.119995,164.389999,143.152405,2525000
2016-03-30,165.369995,167.220001,165.160004,166.750000,145.207504,2195300
2016-03-31,166.750000,167.500000,166.500000,166.630005,145.103058,1777200
2016-04-01,165.630005,167.740005,164.789993,167.529999,145.886765,2011600
2016-04-04,167.110001,167.490005,165.919998,166.399994,144.902725,2022800
2016-04-05,165.179993,166.550003,164.649994,165.809998,144.388962,1617400
2016-04-06,165.339996,167.080002,164.839996,166.809998,145.259766,2092200
2016-04-07,165.880005,167.229996,165.250000,167.160004,145.564590,2728300
2016-04-08,167.710007,167.990005,166.100006,166.630005,145.103058,1729300
2016-04-11,167.119995,167.960007,166.570007,166.589996,145.068207,1521100
2016-04-12,167.009995,168.399994,166.929993,168.029999,146.322159,1636500
2016-04-13,168.470001,168.899994,167.710007,168.589996,146.809799,1545900
2016-04-14,169.000000,169.000000,167.880005,168.160004,146.435379,1213400
2016-04-15,168.320007,169.000000,168.199997,168.779999,146.975266,1417000
2016-04-18,168.470001,169.869995,168.389999,169.550003,147.645798,1146600
2016-04-19,169.919998,170.770004,169.070007,169.649994,147.732849,1849100
2016-04-20,170.139999,170.449997,168.619995,168.940002,147.114609,1439700
2016-04-21,168.970001,169.699997,168.410004,168.660004,146.870743,1635000
2016-04-22,169.089996,169.759995,167.850006,168.660004,146.870743,1802300
2016-04-25,168.000000,168.509995,166.639999,168.380005,146.626938,2378300
2016-04-26,167.500000,167.789993,164.970001,166.179993,144.711151,3192100
