Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,123.790001,124.389999,123.559998,123.820000,110.277672,3494500
2016-03-23,124.099998,125.000000,123.860001,124.190002,110.607201,4143600
2016-03-24,123.690002,124.000000,122.660004,123.290001,109.805649,5796700
2016-03-28,124.000000,124.199997,123.120003,123.169998,109.698753,4784400
2016-03-29,123.430000,124.570000,123.339996,123.970001,110.411270,7188200
2016-03-30,124.900002,126.099998,124.599998,125.830002,112.067856,4853700
2016-03-31,126.150002,126.959999,125.610001,125.680000,111.934250,7685900
2016-04-01,125.190002,127.389999,124.870003,127.019997,113.127693,5212400
2016-04-04,127.050003,127.870003,126.879997,127.570000,113.617516,4239300
2016-04-05,126.839996,127.779999,126.389999,127.379997,113.448311,6282200
2016-04-06,127.470001,127.690002,126.839996,127.519997,113.572983,5619900
2016-04-07,127.370003,128.520004,127.019997,128.139999,114.125183,4720800
2016-04-08,128.279999,128.740005,127.279999,127.959999,113.964890,3625600
2016-04-11,128.350006,128.690002,127.449997,127.559998,113.608627,6973700
2016-04-12,128.080002,128.279999,126.889999,127.610001,113.653152,5211400
2016-04-13,127.709999,127.919998,126.080002,126.889999,113.011902,4985200
2016-04-14,127.139999,128.089996,127.040001,127.510002,113.564079,4834800
2016-04-15,127.080002,128.039993,126.959999,127.779999,113.804573,3103800
2016-04-18,127.779999,128.910004,127.680000,128.850006,114.757530,4525600
2016-04-19,128.910004,129.350006,128.119995,128.860001,114.766449,4606300
2016-04-20,129.309998,129.800003,128.509995,128.550003,114.490349,5006700
2016-04-21,128.550003,128.750000,125.599998,125.790001,112.032211,7947600
2016-04-22,128.169998,128.399994,125.360001,125.500000,111.773933,9311300
2016-04-25,125.070000,127.529999,125.010002,127.459999,113.519562,6979900
2016-04-26,127.419998,128.339996,127.029999,127.709999,113.742210,4082300
2016-04-27,127.940002,128.559998,127.779999,128.300003,114.267708,4436200
2016-04-28,127.860001,128.850006,127.440002,127.919998,113.929253,3385800
2016-04-29,127.930000,127.930000,126.099998,126.489998,112.655655,6276900
2016-05-02,126.650002,128.220001,126.500000,128.199997,114.178619,4830800
2016-05-03,127.400002,128.990005,127.379997,128.399994,114.356743,4048400
2016-05-04,127.570000,130.429993,127.570000,129.330002,115.185036,6613700
2016-05-05,129.309998,129.979996,129.000000,129.279999,115.140511,4519700
2016-05-06,129.380005,130.580002,128.589996,130.580002,116.298332,4418400
2016-05-09,130.649994,131.500000,130.350006,130.830002,116.520996,5006800
2016-05-10,130.850006,131.960007,130.850006,131.600006,117.206772,4082600
2016-05-11,131.240005,131.619995,129.139999,129.139999,115.015816,6890200
2016-05-12,129.740005,130.539993,129.160004,130.119995,115.888618,4286800
2016-05-13,129.740005,130.160004,128.710007,128.830002,114.739716,6568700
2016-05-16,128.509995,129.729996,128.050003,129.639999,115.461143,4343600
2016-05-17,129.600006,129.970001,127.300003,127.690002,113.724411,5826200
2016-05-18,127.050003,127.470001,125.730003,126.209999,112.406273,7303200
2016-05-19,125.480003,125.599998,124.680000,125.290001,111.586891,6255100
2016-05-20,124.739998,125.000000,122.139999,122.559998,109.155479,9735900
2016-05-23,122.760002,123.730003,122.470001,122.809998,109.378128,7081600
2016-05-24,123.389999,124.769997,123.010002,123.949997,110.393456,4494100
2016-05-25,123.750000,123.989998,123.029999,123.260002,109.778923,5307400
2016-05-26,123.379997,123.980003,123.230003,123.790001,110.250954,3716300
2016-05-27,124.269997,124.680000,123.120003,123.250000,109.770012,3222800
2016-05-31,123.300003,123.410004,121.620003,122.059998,108.710167,7995200
2016-06-01,122.059998,122.739998,121.500000,121.970001,108.630020,5057200
2016-06-02,120.699997,121.510002,120.550003,121.169998,108.710762,4740200
2016-06-03,121.089996,121.669998,120.339996,121.349998,108.872253,4643000
2016-06-06,121.790001,122.169998,121.209999,122.000000,109.455414,4901700
2016-06-07,122.339996,123.379997,121.900002,121.900002,109.365685,4562100
2016-06-08,121.980003,122.489998,120.889999,122.110001,109.554085,3925900
2016-06-09,122.070000,123.089996,122.070000,122.790001,110.164185,4583400
2016-06-10,121.800003,122.660004,121.610001,122.360001,109.778397,4347400
2016-06-13,121.949997,123.970001,121.849998,122.989998,110.343613,5436700
2016-06-14,122.540001,123.190002,121.930000,122.510002,109.912987,6351400
2016-06-15,123.150002,123.320000,122.129997,122.250000,109.679695,4168100
2016-06-16,121.839996,122.629997,120.949997,122.470001,109.877075,3931800
2016-06-17,122.230003,122.709999,121.419998,122.269997,109.697639,8331400
2016-06-20,123.320000,124.080002,123.269997,123.419998,110.729401,5951000
2016-06-21,123.919998,124.000000,122.309998,122.629997,110.020622,4749000
2016-06-22,121.309998,121.449997,120.050003,120.620003,108.217285,6578900
2016-06-23,121.480003,121.750000,120.639999,121.209999,108.746635,3832800
2016-06-24,118.760002,121.110001,118.290001,119.440002,107.158646,6985900
2016-06-27,118.160004,118.160004,116.080002,116.300003,104.341507,14150500
2016-06-28,117.199997,118.639999,116.830002,118.500000,106.315292,6173000
2016-06-29,119.160004,119.959999,119.000000,119.489998,107.203506,5020400
2016-06-30,119.680000,120.449997,119.300003,120.339996,107.966103,4808100
2016-07-01,119.720001,120.860001,119.660004,120.400002,108.019928,3798100
2016-07-05,120.120003,120.800003,120.099998,120.760002,108.342918,5191100
2016-07-06,119.290001,120.959999,119.000000,120.629997,108.226265,5102800
2016-07-07,120.889999,121.239998,120.410004,120.919998,108.486465,3621300
2016-07-08,121.220001,121.690002,121.080002,121.309998,108.836357,3809600
2016-07-11,121.690002,122.120003,121.459999,122.000000,109.455414,4266300
2016-07-12,122.000000,122.589996,121.959999,122.250000,109.679695,3742000
2016-07-13,122.360001,123.019997,122.160004,122.820000,110.191093,3464200
2016-07-14,123.699997,124.209999,123.010002,123.930000,111.186951,6011900
2016-07-15,124.419998,124.440002,123.389999,123.610001,110.899864,3688400
2016-07-18,124.000000,124.000000,123.389999,123.800003,111.070328,5254700
2016-07-19,124.080002,126.599998,123.750000,126.500000,113.492699,6277700
2016-07-20,126.839996,126.870003,125.559998,126.059998,113.097939,3353300
2016-07-21,126.419998,127.230003,125.930000,127.180000,114.102776,3572100
2016-07-22,127.290001,128.600006,127.290001,128.259995,115.071739,4304200
2016-07-25,127.949997,127.949997,126.860001,127.400002,114.300163,6210100
2016-07-26,123.500000,124.349998,120.970001,121.709999,109.195236,14563700
2016-07-27,121.690002,121.790001,119.239998,119.480003,107.194534,9939200
2016-07-28,119.589996,120.180000,118.360001,119.419998,107.140686,6239400
2016-07-29,119.139999,119.660004,117.430000,117.650002,105.552689,7460900
2016-08-01,117.879997,118.389999,117.739998,118.010002,105.875702,4208800
2016-08-02,118.180000,118.709999,117.110001,117.699997,105.597549,4504200
2016-08-03,117.769997,118.019997,117.139999,117.519997,105.436058,4120000
2016-08-04,117.849998,118.550003,117.580002,118.300003,106.135849,4313200
2016-08-05,118.779999,119.449997,118.599998,119.209999,106.952293,3883800
2016-08-08,119.169998,119.370003,118.199997,118.290001,106.126892,3589300
2016-08-09,117.980003,119.129997,117.599998,118.309998,106.144821,3491700
2016-08-10,118.000000,118.940002,117.650002,118.800003,106.584442,2941700
2016-08-11,118.870003,119.750000,118.849998,119.379997,107.104805,3490200
2016-08-12,119.570000,120.019997,119.279999,119.519997,107.230415,3015700
2016-08-15,119.019997,119.250000,118.519997,118.519997,106.333244,3391600
2016-08-16,118.309998,118.529999,117.919998,117.940002,105.812874,3333900
2016-08-17,117.980003,117.980003,116.519997,117.099998,105.059258,5184900
2016-08-18,117.239998,117.370003,116.800003,117.129997,105.086159,3710500
2016-08-19,116.800003,116.800003,115.000000,115.010002,103.184158,7065700
2016-08-22,115.000000,115.730003,114.650002,115.419998,103.551994,4484700
2016-08-23,115.910004,116.120003,115.050003,115.190002,103.345650,4305400
2016-08-24,115.150002,115.400002,114.730003,114.870003,103.058556,4135400
2016-08-25,115.099998,115.779999,114.879997,115.430000,103.560966,6694100
2016-08-26,115.629997,115.720001,113.959999,114.440002,102.672768,5294500
2016-08-29,114.599998,115.650002,114.500000,115.410004,103.543007,4983000
2016-08-30,115.410004,115.870003,114.599998,115.360001,104.302513,5085300
2016-08-31,115.510002,116.000000,115.199997,115.660004,104.573761,5394700
2016-09-01,115.510002,115.809998,114.860001,115.400002,104.338684,3966600
2016-09-02,115.930000,116.110001,115.699997,115.830002,104.727455,3410100
2016-09-06,117.089996,119.239998,116.910004,117.250000,106.011360,6337900
2016-09-07,117.269997,117.489998,116.440002,116.919998,105.712975,2647700
2016-09-08,116.820000,117.110001,116.040001,116.169998,105.034851,3085600
2016-09-09,115.599998,115.760002,114.580002,114.580002,103.597267,4961100
2016-09-12,114.470001,116.180000,114.129997,115.949997,104.835930,5014000
2016-09-13,115.610001,115.610001,114.480003,114.730003,103.732910,4162200
2016-09-14,115.000000,115.660004,114.820000,115.180000,104.139755,4530700
2016-09-15,114.879997,116.239998,114.769997,116.139999,105.007736,3671200
2016-09-16,115.680000,116.260002,114.830002,115.279999,104.230171,9500500
2016-09-19,115.830002,116.410004,114.959999,115.209999,104.166885,3741500
2016-09-20,115.720001,116.629997,115.500000,116.449997,105.288025,3841800
2016-09-21,116.489998,117.050003,115.959999,116.930000,105.722015,4528900
2016-09-22,117.459999,117.949997,117.279999,117.360001,106.110802,3808800
2016-09-23,116.489998,117.519997,116.349998,117.169998,105.939011,2776000
2016-09-26,116.800003,116.940002,116.279999,116.529999,105.360367,3022400
2016-09-27,116.949997,117.199997,116.370003,116.879997,105.676819,3745400
2016-09-28,116.379997,116.529999,114.459999,115.180000,104.139755,5638900
2016-09-29,115.199997,115.970001,114.730003,114.790001,103.787140,4924400
2016-09-30,114.690002,115.709999,114.690002,115.360001,104.302513,4188700
2016-10-03,115.010002,115.150002,114.410004,114.639999,103.651520,3085800
2016-10-04,114.989998,115.510002,113.419998,113.500000,102.620789,4742900
2016-10-05,113.910004,114.830002,113.379997,113.410004,102.539413,3720300
2016-10-06,113.250000,114.220001,112.400002,113.919998,103.000526,3900000
2016-10-07,113.970001,114.339996,113.220001,113.449997,102.575577,4153100
2016-10-10,114.209999,114.989998,114.160004,114.709999,103.714806,3290300
2016-10-11,114.650002,115.230003,113.559998,113.680000,102.783539,3943300
2016-10-12,113.599998,115.230003,113.540001,114.709999,103.714806,3340200
2016-10-13,114.139999,115.739998,114.070000,115.410004,104.347710,4464700
2016-10-14,114.900002,115.110001,114.070000,114.089996,103.154251,5312500
2016-10-17,113.910004,114.400002,112.099998,112.410004,101.635277,5655700
2016-10-18,112.889999,113.089996,111.230003,111.250000,100.586456,6198400
2016-10-19,111.709999,111.769997,111.120003,111.260002,100.595505,6433400
2016-10-20,111.300003,111.300003,110.330002,110.570000,99.971657,7250700
2016-10-21,113.269997,114.500000,112.750000,113.930000,103.009575,10108000
2016-10-24,114.250000,114.500000,112.639999,113.570000,102.684082,6173500
