"Index","A","B","C"
29/01/2019,34.102802,12.962682,9.831925
30/01/2019,34.856556,12.991899,10.000151
31/01/2019,35.251816,13.099524,10.056228
01/02/2019,35.205856,13.276333,10.056228
04/02/2019,35.518391,13.19946,10.112303
05/02/2019,35.739002,13.16102,10.102957
06/02/2019,35.56435,13.145648,10.084264
07/02/2019,35.159897,12.98421,9.953421
08/02/2019,35.297779,12.991899,9.878653
11/02/2019,35.371315,12.98421,9.897346
12/02/2019,35.922844,13.04571,10.009497
13/02/2019,35.968807,13.107212,10.000151
14/02/2019,35.977997,13.114975,9.972114
15/02/2019,36.244568,13.146037,10.093612
19/02/2019,36.262955,13.099445,10.102957
20/02/2019,36.290527,13.107213,10.112303
21/02/2019,36.115879,13.099445,10.065573
22/02/2019,36.474373,13.169331,10.037535
25/02/2019,36.575485,13.09168,10.056228
26/02/2019,36.593872,13.060617,10.009497
27/02/2019,36.685791,13.060617,10.037535
28/02/2019,36.566292,13.076151,10.000151
01/03/2019,36.915592,13.122744,10.056228
04/03/2019,36.704174,13.083917,10.009497
05/03/2019,36.667404,13.083917,10.018844
06/03/2019,36.391644,13.006269,9.990804
07/03/2019,36.005573,12.975208,9.944077
08/03/2019,35.941227,12.944148,9.944077
11/03/2019,36.639832,13.006269,10.037535
12/03/2019,36.796097,13.021796,10.065573
13/03/2019,37.090244,13.114975,10.130994
14/03/2019,37.053478,13.164315,10.130994
15/03/2019,37.274086,13.227077,10.187068
18/03/2019,37.421162,13.176867,10.205761
19/03/2019,37.494698,13.085864,10.215109
20/03/2019,37.448738,13.030945,10.102957
21/03/2019,37.871574,13.172161,10.187068
22/03/2019,37.007515,13.07017,10.000151
25/03/2019,36.989132,12.928956,10.000151
26/03/2019,37.24651,12.952494,10.018844
27/03/2019,36.989132,12.96034,10.000151
28/03/2019,37.136208,12.936804,10.046881
29/03/2019,37.411968,12.944648,10.074919
01/04/2019,37.853191,13.030945,10.205761
02/04/2019,37.871574,13.030945,10.2338
03/04/2019,38.000267,13.085864,10.2338
04/04/2019,38.009457,13.125091,10.252493
05/04/2019,38.239258,13.172161,10.2338
08/04/2019,38.285221,13.180006,10.280528
09/04/2019,38.092186,13.164315,10.243144
10/04/2019,38.321987,13.203543,10.215109
11/04/2019,38.312798,13.336913,10.261836
12/04/2019,38.588562,13.364368,10.37399
15/04/2019,38.533405,13.415364,10.355297
16/04/2019,38.524216,13.462434,10.39268
17/04/2019,38.524216,13.4885,10.39268
18/04/2019,38.395527,13.480577,10.420718
22/04/2019,38.45068,13.385472,10.375443
23/04/2019,38.891903,13.298297,10.441468
24/04/2019,38.809174,13.345848,10.413173
25/04/2019,38.947052,13.353776,10.432038
26/04/2019,39.167667,13.337924,10.469767
29/04/2019,39.305546,13.40925,10.526359
30/04/2019,39.130898,13.385472,10.545224
01/05/2019,38.88271,13.480577,10.57352
02/05/2019,38.781593,13.512275,10.516927
03/05/2019,39.314739,13.63115,10.601817
06/05/2019,39.103321,13.670778,10.545224
07/05/2019,38.36795,13.440949,10.328283
08/05/2019,38.386333,13.40925,10.337714
09/05/2019,38.303604,13.298297,10.309419
10/05/2019,38.404716,13.433021,10.375443
13/05/2019,37.145397,13.290373,10.186799
14/05/2019,37.614193,13.40925,10.205663
15/05/2019,38.01865,13.464725,10.186799
16/05/2019,38.432297,13.747269,10.290554
17/05/2019,38.05542,13.65119,10.27169
20/05/2019,37.58662,13.617563,10.243392
21/05/2019,37.972691,13.659195,10.28112
22/05/2019,37.871574,13.579132,10.224528
23/05/2019,37.320045,13.515079,10.177367
24/05/2019,37.347626,13.563118,10.205663
28/05/2019,37.20055,13.491059,10.111341
29/05/2019,36.750134,13.314914,10.026451
30/05/2019,36.915592,13.451027,10.035885
31/05/2019,36.419216,13.234848,9.932128
03/06/2019,35.867691,13.266873,9.969858
04/06/2019,36.80529,13.435012,10.149071
05/06/2019,37.136208,13.451027,10.205663
06/06/2019,37.292473,13.571121,10.28112
07/06/2019,37.899151,13.611158,10.337714
10/06/2019,38.174915,13.603151,10.375443
11/06/2019,38.119762,13.65119,10.366011
12/06/2019,38.06461,13.65119,10.337714
13/06/2019,38.276028,13.718236,10.347147
14/06/2019,38.138149,13.75868,10.375443
17/06/2019,38.285221,13.750591,10.337714
18/06/2019,38.772404,13.726325,10.403739
19/06/2019,39.029781,13.815298,10.432038
20/06/2019,39.443428,13.750591,10.507496
21/06/2019,39.388275,13.807211,10.450902
24/06/2019,39.241203,13.839562,10.469767
25/06/2019,38.735634,13.726325,10.403739
26/06/2019,38.735634,13.799122,10.469767
27/06/2019,38.974632,13.70206,10.554656
28/06/2019,39.213627,13.78618,10.601817
01/07/2019,39.535351,13.912362,10.630114
02/07/2019,39.673233,13.904274,10.630114
03/07/2019,39.939804,13.904274,10.65841
05/07/2019,39.838692,13.944716,10.648978
08/07/2019,39.572121,13.993248,10.639545
09/07/2019,39.774345,14.033689,10.65841
10/07/2019,40.031727,14.146932,10.696139
11/07/2019,40.04092,14.227817,10.696139
12/07/2019,40.224758,14.125902,10.686706
15/07/2019,40.307487,14.235905,10.677275
16/07/2019,40.12365,14.213762,10.65841
17/07/2019,39.967381,14.07489,10.582953
18/07/2019,40.08688,14.058553,10.620683
19/07/2019,39.801922,14.050384,10.57352
22/07/2019,40.059303,14.050384,10.537348
23/07/2019,40.289108,14.025878,10.584943
24/07/2019,40.592445,14.034046,10.603982
25/07/2019,40.224758,13.968697,10.546867
26/07/2019,40.574062,13.976862,10.594462
29/07/2019,40.390217,14.058553,10.651574
30/07/2019,40.316681,14.172915,10.584943
31/07/2019,39.921421,14.197422,10.537348
01/08/2019,39.627274,14.123903,10.461198
